depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,dpeth3_code,parameter1,parameter2,parameter3
대학,02,과학기술대학,1U,섬유패션디자인학부 패션디자인전공,1U0A02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,융복합시스템공학부 ,1U0I,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,융복합시스템공학부 항공위성시스템전공,1U0I01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,융복합시스템공학부 플랜트시스템전공,1U0I02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,과학기술대학,1U,치위생학과 ,1U0J,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,국어국문학과 ,21101,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,영어영문학과 ,21102,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,독어독문학과 ,21103,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,불어불문학과 ,21104,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,중어중문학과 ,21105,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,일어일문학과 ,21106,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,한문학과 ,21107,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,노어노문학과 ,21108,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,사학과 ,21109,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,철학과 ,2110A,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,고고인류학과 ,2110B,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,문학치료학과 ,2110C,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,정치학과 ,2110D,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,사회학과 ,2110E,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,지리학과 ,2110F,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,심리학과 ,2110G,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,문헌정보학과 ,2110H,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,신문방송학과 ,2110J,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,사회교육학과 ,2110K,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,기록학과 ,2110L,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,물리학과 ,2110O,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,화학과 ,2110P,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,지질학과 ,2110R,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,통계학과 ,2110S,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,천문대기과학과 ,2110T,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,과학교육학과 ,2110Y,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,경제학과 ,21112,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,무역학과 ,21113,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,법학과 ,21119,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,행정학과 ,2111A,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,기계공학과 ,2111F,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,전기공학과 ,2111J,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,정보보호학과 ,2111U,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,섬유시스템공학과 ,2111X,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,센서및디스플레이공학과 ,2111Y,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,원예학과 ,21124,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,임학과 ,21127,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,조경학과 ,2112B,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,생물산업기계공학과 ,2112D,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,농업경제학과 ,2112E,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,임산공학과 ,2112F,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,농업토목공학과 ,2112H,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,발효생물공학과 ,2112I,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,음악학과 ,2112O,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,미술학과 ,2112P,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,국악학과 ,2112Q,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,시각정보디자인학과 ,2112R,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,교육학과 ,2112S,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,체육학과 ,2112U,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,국어교육학과 ,2112V,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,영어교육학과 ,2112W,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,수학교육학과 ,2112X,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,의학과 ,2112Y,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,간호학과 ,2112Z,search_open_yr_trm,sub,search_open_crse_cde
대학원,03,대학원,211,보건학과 ,21130,search_open_yr_trm,sub,search_open_crse_cde
